video_url,user_url,username,title,view_num,created_at,shortdesc,collected_at
/watch?v=UR_aa-SJHyk&pp=ygUYbWlubmVzb3RhIGRhbmNlIHRlYW1qYXp6,/@UDADANCE,UDA DANCE,University of Minnesota | Jazz 2025,56K,1 year,I don't own rights to music “   this woman's work : kate bush.,2026-01-21 23:04:15.811942
/watch?v=gU4vc8OYScw&list=RDgU4vc8OYScw&start_radio=1&pp=ygUYbWlubmVzb3RhIGRhbmNlIHRlYW1qYXp6oAcB,/@superiiorcheer2,superiiorcheer,University of Minnesota Dance Jazz UDA 2026 Semi Finals D1A,94K,3 days,VIDEO IS FROM hannah04_12 ON TIKTOK !!! #dance #dancemoms #dancer #udanationals #uda2026 #jazz #dancing ...,2026-01-21 23:04:15.819021
/watch?v=rWkoSnD1V68&list=RDrWkoSnD1V68&start_radio=1&pp=ygUYbWlubmVzb3RhIGRhbmNlIHRlYW1qYXp6oAcB,/@RhinestonesUnlimited,RhinestonesUnlimited,University of Minnesota Dance Team Jazz Full Performance | Best of the Best 2026,139K,5 days,"The legacy continues. 〽️ One week before heading to Orlando for the UDA Collegiate Nationals, the University of Minnesota ...",2026-01-21 23:04:15.821442
/watch?v=F4L4hoYHHKo&pp=ygUYbWlubmVzb3RhIGRhbmNlIHRlYW1qYXp6,/@collegiatedancehub,collegiate dance hub,University of Minnesota Dance Team Jazz 2023,3.6K,2 weeks,UDA College Dance Team National Championship D1A Jazz Finals 1st Place Choreography:,2026-01-21 23:04:15.827343
/watch?v=MVPl6XVEBhk&list=RDMVPl6XVEBhk&start_radio=1&pp=ygUYbWlubmVzb3RhIGRhbmNlIHRlYW1qYXp6oAcB,/@RhinestonesUnlimited,RhinestonesUnlimited,Customer Spotlight: University of Minnesota Dance Team Jazz 2020,695K,6 years,The University of Minnesota Dance Team presents their 2020 Jazz Routine at the Best of the Best show at the University of ...,2026-01-21 23:04:15.834166
/watch?v=H1VO7clr1Vs&pp=ygUYbWlubmVzb3RhIGRhbmNlIHRlYW1qYXp6,/@UDADANCE,UDA DANCE,University of Minnesota Duluth  | Jazz 2025,20K,1 year,I don't own rights to the music.,2026-01-21 23:04:15.844877
/watch?v=0jvfXMVKrUw&list=RD0jvfXMVKrUw&start_radio=1&pp=ygUYbWlubmVzb3RhIGRhbmNlIHRlYW1qYXp6oAcB,/@traviseancahill,Travis Cahill,DanceFullOutMN - University of Minnesota Dance Team Jazz 2015,134K,11 years,Please keep comments supportive and constructive. The 2015 University of Minnesota Dance Team performing their Jazz routine ...,2026-01-21 23:04:15.851697
/watch?v=TmXzcoj4KLg&pp=ygUYbWlubmVzb3RhIGRhbmNlIHRlYW1qYXp6,/@RhinestonesUnlimited,RhinestonesUnlimited,University of Minnesota Dance Team Jazz 2021,29K,4 years,The University of Minnesota Dance Team presents their 2021 #Jazz Routine at their #UDA collegiate dance #nationals sendoff ...,2026-01-21 23:04:15.857585
/watch?v=dy3k_n1lcWo&pp=ygUYbWlubmVzb3RhIGRhbmNlIHRlYW1qYXp6,/@dancexisxlifexx3,dancexisxlifexx3,2010 UDA College Nationals: University of Minnesota- Minneapolis :Division IA Jazz 1st place,294K,15 years,UDA College National Championship 2010: University of Minnesota- Minneapolis Dance Team Division IA Jazz Champions!,2026-01-21 23:04:15.864628
/watch?v=TsUAcFT-Lz4&pp=ygUYbWlubmVzb3RhIGRhbmNlIHRlYW1qYXp6,/@wanabdirector77,wanabdirector77,University of Minnesota Dance Team Jazz Dance 2012,63K,14 years,The University of Minnesota Dance Team performed this Jazz dance at the Best of the Best show at Williams Arena in Minneapolis ...,2026-01-21 23:04:15.869610
/watch?v=upoCXV58-ho&pp=ygUYbWlubmVzb3RhIGRhbmNlIHRlYW1qYXp6,/@emily.decker,Emily Decker,MINNESOTA DANCE TEAM POM 2025,108K,1 year,Division 1A- Pom Semis UDA nationals.,2026-01-21 23:04:15.870832
/watch?v=va8OKoupDxk&pp=ygUZbWlubmVzb3RhIGRhbmNlIHRlYW0gamF6eg%3D%3D,/@wanabdirector77,wanabdirector77,University of Minnesota Jazz 2024,18K,2 years,The University of Minnesota Dance Team performed at the University of Minnesota Best of the Best Dance Team Show on ...,2026-01-21 23:04:22.515262
/watch?v=cZXyHjqutyU&pp=ygUZbWlubmVzb3RhIGRhbmNlIHRlYW0gamF6eg%3D%3D,/@collegiatedancehub,collegiate dance hub,University of Tennessee Dance Team Jazz 2025,52K,11 months,UDA College Dance Team National Championship D1A Jazz Finals 4th Place Choreography: Katie Fear Lane and Faymie Link.,2026-01-21 23:04:22.516848
/watch?v=_wu-6H2rnw4&pp=ygUZbWlubmVzb3RhIGRhbmNlIHRlYW0gamF6eg%3D%3D,/@TDance27,Travis Lake (Tdance27),University of Minnesota Dance Team 2017,366K,8 years,"""Elements"" music available at www.travislake.net Choreographed by Kenzie Symanietz and Travis Lake.",2026-01-21 23:04:22.518309
/watch?v=7qfKfFExEQI&pp=ygUZbWlubmVzb3RhIGRhbmNlIHRlYW0gamF6eg%3D%3D,/@wanabdirector77,wanabdirector77,University of Minnesota Jazz 2013,132K,13 years,University of Minnesota Dance Team Jazz dance at the Best of the Best show 2013. They competed with this Jazz dance at the ...,2026-01-21 23:04:22.519920
/watch?v=yCH5s2z_wRM&list=RDyCH5s2z_wRM&start_radio=1&pp=ygUZbWlubmVzb3RhIGRhbmNlIHRlYW0gamF6eqAHAQ%3D%3D,/@VarsitySpirit,Varsity Spirit,University of Minnesota Division IA Jazz Finalist 2012,53K,14 years,Finals Performance Highlights.,2026-01-21 23:04:22.522618
/watch?v=SLXJoZMjm60&list=RDSLXJoZMjm60&start_radio=1&pp=ygUZbWlubmVzb3RhIGRhbmNlIHRlYW0gamF6eqAHAQ%3D%3D,/@traviseancahill,Travis Cahill,University of Minnesota Dance Team Jazz 2019,286K,7 years,2019 D1A JAZZ NATIONAL CHAMPIONS Choreography: Mackenzie Larkin Symanietz & Amanda Gaines Costume: Elle Bauer ...,2026-01-21 23:04:22.526434
/watch?v=wMWgo-kp8fA&list=RDwMWgo-kp8fA&start_radio=1&pp=ygUZbWlubmVzb3RhIGRhbmNlIHRlYW0gamF6eqAHAQ%3D%3D,/@wanabdirector77,wanabdirector77,University of Minnesota Dance Team Jazz 2016,214K,10 years,University of Minnesota Dance Team at the 2016 Best of the Best show one week before the UCA/UDA college nationals.,2026-01-21 23:04:22.527788
/watch?v=2Q_r7kXMKLI&pp=ygUZbWlubmVzb3RhIGRhbmNlIHRlYW0gamF6eg%3D%3D,/@wanabdirector77,wanabdirector77,University of Minnesota Jazz Dance 2011,281K,15 years,University of Minnesota Dance Team did this Jazz routine at Best of the Best Show in Mineapolis MN. They received 1st place at ...,2026-01-21 23:04:22.529180
/watch?v=xaZiBLVdn1g&pp=ygUZbWlubmVzb3RhIGRhbmNlIHRlYW0gamF6eg%3D%3D,/@UCFKnights,UCF Knights,2025 UCF Dance Team National Jazz Semifinals Routine,65K,1 year,Courtesy of VarsityTV - UCF Dance Team's Jazz routine from the 2025 UDA National Championships at Wide World of Sports.,2026-01-21 23:04:22.530679
/watch?v=G0bnMRz3KDc&pp=ygUZbWlubmVzb3RhIGRhbmNlIHRlYW0gamF6eg%3D%3D,/@rouse_photos,Rouse Productions,University of Minnesota 2024 Jazz Finals at UDA Nationals,123K,2 years,University of Minnesota Dance Team Jazz Finals at 2024 UDA Nationals Music: Dream On by Aerosmith and.,2026-01-21 23:04:22.533395
/watch?v=M612VwBAzUY&pp=ygUZbWlubmVzb3RhIGRhbmNlIHRlYW0gamF6etIHCQmHCgGHKiGM7w%3D%3D,/@collegiatedancehub,collegiate dance hub,University of South Carolina Dance Team Jazz 2025,28K,11 months,UDA College Dance Team National Championship D1A Jazz Finals 11th Place Choreography: Dani Rein Eustice and Carly ...,2026-01-21 23:04:22.534730
/watch?v=s_176izXJFQ&list=RDs_176izXJFQ&start_radio=1&pp=ygUZbWlubmVzb3RhIGRhbmNlIHRlYW0gamF6eqAHAQ%3D%3D,/@mconstant5678,MCONSTANT2,LSU Tiger Girls - UDA National Champions - 2024,1.6M,2 years,Hip Hop Division.,2026-01-21 23:04:22.535993
/watch?v=fwxvq6ebiyg&pp=ygUZbWlubmVzb3RhIGRhbmNlIHRlYW0gamF6eg%3D%3D,/@collegiatedancehub,collegiate dance hub,Ohio State University Dance Team Jazz 2026,804,7 hours,UDA College Dance Team National Championship D1A Jazz Finals 1st Place Choreography:,2026-01-21 23:04:30.423789
/watch?v=k65VZQwFnRc&pp=ygUZbWlubmVzb3RhIGRhbmNlIHRlYW0gamF6eg%3D%3D,/@collegiatedancehub,collegiate dance hub,University of Oklahoma Dance Team Jazz 2026,51,7 hours,UDA College Dance Team National Championship D1A Jazz Finals 7th Place Choreography:,2026-01-21 23:04:30.425275
/watch?v=ufao5QJkVUY&pp=ygUZbWlubmVzb3RhIGRhbmNlIHRlYW0gamF6etIHCQmHCgGHKiGM7w%3D%3D,/@collegiatedancehub,collegiate dance hub,Minnesota State University Mankato Dance Team Pom 2026,81,22 hours,UDA College Dance Team National Championship Open Pom Finals 1st Place Choreography:,2026-01-21 23:04:30.426561
/watch?v=T2F-aqCGpgI&pp=ygUZbWlubmVzb3RhIGRhbmNlIHRlYW0gamF6eg%3D%3D,/@collegiatedancehub,collegiate dance hub,Penn State University Dance Team Jazz 2026,829,8 hours,UDA College Dance Team National Championship D1A Jazz Finals 12th Place Choreography:,2026-01-21 23:04:30.428293
/watch?v=2cRiAD2ZMJE&pp=ygUZbWlubmVzb3RhIGRhbmNlIHRlYW0gamF6eg%3D%3D,/@da.ncecapture,Dance Capture,University of Minnesota Dance Team Jazz 2023,13K,3 years,"The University of Minnesota performs their 2023 Jazz routine, at Edina Dance Team's 2023 Invite.",2026-01-21 23:04:30.429571
/watch?v=Ouz6D6feRBI&list=RDOuz6D6feRBI&start_radio=1&pp=ygUZbWlubmVzb3RhIGRhbmNlIHRlYW0gamF6eqAHAQ%3D%3D,/@traviseancahill,Travis Cahill,DanceFullOut13 - University of Minnesota Dance Team Jazz 2014,175K,12 years,Subscribe to my channel and tweet using #DanceFullOut13 for requests/suggestions. Please keep comments supportive and ...,2026-01-21 23:04:30.432479
/watch?v=TKPvwep08xc&pp=ygUZbWlubmVzb3RhIGRhbmNlIHRlYW0gamF6eg%3D%3D,/@wanabdirector77,wanabdirector77,University of Minnesota Dance Team Jazz at Best of the Best show 2010.mpg,476K,16 years,The University of Minnesota Dance Team took the national championship with this Jazz routine Division D1A in Orlando FL 2010.,2026-01-21 23:04:30.434739
/watch?v=5mdSSlxZdIw&pp=ygUZbWlubmVzb3RhIGRhbmNlIHRlYW0gamF6eg%3D%3D,/@wanabdirector77,wanabdirector77,University of Minnesota Jazz,12K,4 years,University of Minnesota Dance Team Jazz routine at the 2022 Best of the Best show that they hosted at Williams Arena. The team ...,2026-01-21 23:04:30.435965
/watch?v=eWsblAi238I&pp=ygUZbWlubmVzb3RhIGRhbmNlIHRlYW0gamF6eg%3D%3D,/@collegiatedancehub,collegiate dance hub,Cal State University Fullerton Dance Team Jazz 2026,170,21 hours,UDA College Dance Team National Championship D1 Jazz Finals 2nd Place Choreography:,2026-01-21 23:04:30.437310
/watch?v=o4iryiiKy2g&pp=ygUZbWlubmVzb3RhIGRhbmNlIHRlYW0gamF6eg%3D%3D,/@gophersports,Minnesota Gophers,Minnesota Dance Wins 2026 UDA Division 1A Pom National Championship,4.7K,1 day,The Golden Gopher Dance team defended their D1A Pom National Championship at the 2026 UCA and UDA College ...,2026-01-21 23:04:30.439769
/watch?v=83Ican6q7CQ&list=RD83Ican6q7CQ&start_radio=1&pp=ygUZbWlubmVzb3RhIGRhbmNlIHRlYW0gamF6eqAHAQ%3D%3D,/@ohiostatedanceteam3290,Ohio State Dance Team,2025 Ohio State Jazz,54K,11 months,D1A Jazz National Champions Choreographer: Ricky Ubeda Costume: Emily Raiche.,2026-01-21 23:04:30.441034
/watch?v=jVK-QgxtKmw&list=RDjVK-QgxtKmw&start_radio=1&pp=ygUZbWlubmVzb3RhIGRhbmNlIHRlYW0gamF6eqAHAQ%3D%3D,/@superiiorcheer2,superiiorcheer,University of Minnesota Dance Team Jazz Prelims 2026 UDA Nationals ,31K,4 days,VID FROM brievs.22 on tiktok #dance #dancer #dancemoms #dancevideo #udanationals #uda #collegedance ...,2026-01-21 23:04:30.442319
/watch?v=yCAAQCs61pQ&pp=ygUZbWlubmVzb3RhIGRhbmNlIHRlYW0gamF6eg%3D%3D,/@UCFKnights,UCF Knights,UCF DANCE TEAM // 2026 UDA Nationals DIA Jazz Semifinals,88K,3 days,Courtesy VarsityTV. UCF Dance Team's DIA Jazz Semifinals routine at the 2026 UDA College Nationals.,2026-01-21 23:04:30.443605
/watch?v=YrKmsxt5c34&pp=ygUZbWlubmVzb3RhIGRhbmNlIHRlYW0gamF6eg%3D%3D,/@collegiatedancehub,collegiate dance hub,Weber State University Dance Team Jazz 2026,144,21 hours,UDA College Dance Team National Championship D1 Jazz Finals 3rd Place Choreography:,2026-01-21 23:04:30.444830
/watch?v=BCC9DSjwh8c&pp=ygUZbWlubmVzb3RhIGRhbmNlIHRlYW0gamF6etIHCQmHCgGHKiGM7w%3D%3D,/@collegiatedancehub,collegiate dance hub,University of Alabama Dance Team Jazz 2025,31K,11 months,UDA College Dance Team National Championship D1A Jazz Finals 6th Place Choreography: Melissa Caldwell Verzino.,2026-01-21 23:04:30.446069
/watch?v=VoC85FHnkKk&pp=ygUZbWlubmVzb3RhIGRhbmNlIHRlYW0gamF6eg%3D%3D,/@ohiostatedanceteam3290,Ohio State Dance Team,2022 The Ohio State University - UDA Jazz Finals,103K,3 years,D1A Jazz National Champions Choreography: Shannon Mather Music: Dancing by Elisa *we do not own the rights to this music*,2026-01-21 23:04:38.700312
/watch?v=v-ch5825Kxg&pp=ygUZbWlubmVzb3RhIGRhbmNlIHRlYW0gamF6etIHCQmHCgGHKiGM7w%3D%3D,/@Kcase16,Kcase16,University of Minnesota Dance Team Jazz 2012,128K,14 years,"University of Minnesota performs their jazz routine at their Best of the Best Dance Show, 1/6/2012. Once again choreographed by ...",2026-01-21 23:04:38.701792
/watch?v=eQMNJRKkik0&pp=ygUZbWlubmVzb3RhIGRhbmNlIHRlYW0gamF6eg%3D%3D,/@wcco,WCCO - CBS Minnesota,Gophers dance dynasty preps for defending UDA College Nationals title,6K,8 days,"... WCCO has exclusive coverage of the competition, which features the University of Minnesota's dance team. For video licensing ...",2026-01-21 23:04:38.703416
/watch?v=7ia8-b9mvhQ&list=RD7ia8-b9mvhQ&start_radio=1&pp=ygUZbWlubmVzb3RhIGRhbmNlIHRlYW0gamF6eqAHAQ%3D%3D,/@UDANationals2025,UDA 2025,OPEN JAZZ CHAMPIONS Minnesota State University- Mankato at UDA 2025,4.2K,1 year,Congrats to this stunning performance that took first place! #dancesuperbowl #uda #dancenationals #udanationals ...,2026-01-21 23:04:38.709491
/watch?v=cyRz8mD4MLE&pp=ygUZbWlubmVzb3RhIGRhbmNlIHRlYW0gamF6etIHCQmHCgGHKiGM7w%3D%3D,/@Sirek6,Minnesota Dance Talent,University of Minnesota Dance Team Jazz 2020 College Dance Team National Championship UDA,6.9K,5 years,"I do not own the rights to the video or music, I'm just sharing and promoting amazing dance talent.if you want your video removed, ...",2026-01-21 23:04:38.710818
/shorts/6p6w4wpO63U,/@VarsitySpirit,Varsity Spirit,UDA College Nationals | University of Minnesota - Dream On | Jazz Highlights,125K,2 years,Dream On ✨   The Golden Gophers nod to their history with their Jazz routine and the desire to make #UDAnationals ...,2026-01-21 23:04:38.712294
/watch?v=jyDMfWjc7Do&pp=ygUZbWlubmVzb3RhIGRhbmNlIHRlYW0gamF6eg%3D%3D,/@collegiatedancehub,collegiate dance hub,University of Michigan Dance Team Jazz 2025,34K,11 months,UDA College Dance Team National Championship D1A Jazz Finals 3rd Place Choreography: Chase Hudson.,2026-01-21 23:04:38.713631
/watch?v=7ny9BT3g1pk&pp=ygUZbWlubmVzb3RhIGRhbmNlIHRlYW0gamF6eg%3D%3D,/@dancecoachleighann,Dance Coach Leighann,University of Minnesota UDA Nationals Jazz | DANCE COACH REACTS,988,1 year,"Please like, comment, and subscribe to see more from me, and comment below what you'd like me to react to next! Patreon ...",2026-01-21 23:04:38.714899
