video_url,user_url,username,title,view_num,created_at,shortdesc,collected_at
/watch?v=l6i0lZs7U9M&pp=ygUZb2hpbyBzdGF0ZSBkYW5jZSB0ZWFtamF6eg%3D%3D,/@collegiatedancehub,collegiate dance hub,The Ohio State University Dance Team Jazz 2025,454K,11 months,UDA College Dance Team National Championship D1A Jazz Finals CHAMPION Choreography: Ricky Ubeda.,2026-01-21 23:12:34.746671
/watch?v=83Ican6q7CQ&list=RD83Ican6q7CQ&start_radio=1&pp=ygUZb2hpbyBzdGF0ZSBkYW5jZSB0ZWFtamF6eqAHAQ%3D%3D,/@ohiostatedanceteam3290,Ohio State Dance Team,2025 Ohio State Jazz,54K,11 months,D1A Jazz National Champions Choreographer: Ricky Ubeda Costume: Emily Raiche.,2026-01-21 23:12:34.749768
/watch?v=fwxvq6ebiyg&pp=ygUZb2hpbyBzdGF0ZSBkYW5jZSB0ZWFtamF6eg%3D%3D,/@collegiatedancehub,collegiate dance hub,Ohio State University Dance Team Jazz 2026,811,7 hours,UDA College Dance Team National Championship D1A Jazz Finals 1st Place Choreography:,2026-01-21 23:12:34.752508
/watch?v=VNV1CrxSp2o&list=RDVNV1CrxSp2o&start_radio=1&pp=ygUZb2hpbyBzdGF0ZSBkYW5jZSB0ZWFtamF6eqAHAQ%3D%3D,/@superiiorcheer2,superiiorcheer,The Ohio State University Dance UDA 2026 Semifinals JAZZ ,138K,3 days,VIDEO IS FROM hannah04_12 ON TIKTOK !!! #dance #dancemoms #dancer #udanationals #uda2026 #jazz #dancing ...,2026-01-21 23:12:34.755621
/watch?v=VoC85FHnkKk&pp=ygUZb2hpbyBzdGF0ZSBkYW5jZSB0ZWFtamF6eg%3D%3D,/@ohiostatedanceteam3290,Ohio State Dance Team,2022 The Ohio State University - UDA Jazz Finals,103K,3 years,D1A Jazz National Champions Choreography: Shannon Mather Music: Dancing by Elisa *we do not own the rights to this music*,2026-01-21 23:12:34.757013
/watch?v=OkUK6KjzCrg&list=RDOkUK6KjzCrg&start_radio=1&pp=ygUZb2hpbyBzdGF0ZSBkYW5jZSB0ZWFtamF6eqAHAQ%3D%3D,/@ohiostatedanceteam3290,Ohio State Dance Team,2023 The Ohio State University - UDA Jazz Finals,286K,3 years,Head Choreographer: Shannon Mather Assistant Choreographer: Nicole Smith Music: Beyonce Costume: The LineUp x ...,2026-01-21 23:12:34.759485
/watch?v=k2ZJZ_vagQ0&pp=ygUZb2hpbyBzdGF0ZSBkYW5jZSB0ZWFtamF6eg%3D%3D,/@emily.decker,Emily Decker,OHIO STATE DANCE TEAM JAZZ 2025,10K,1 year,Division 1A- Jazz Semis UDA nationals.,2026-01-21 23:12:34.760915
/watch?v=GsdJyyIIKyQ&list=RDGsdJyyIIKyQ&start_radio=1&pp=ygUZb2hpbyBzdGF0ZSBkYW5jZSB0ZWFtamF6eqAHAQ%3D%3D,/@superiiorcheer2,superiiorcheer,The Ohio State University Dance Team Jazz Prelims 2026 UDA Nationals ,64K,4 days,VID FROM brievs.22 on tiktok #dance #dancer #dancemoms #dancevideo #udanationals #uda #collegedance #ohiostate.,2026-01-21 23:12:34.762368
/watch?v=T3_YOmX0Ejk&pp=ygUZb2hpbyBzdGF0ZSBkYW5jZSB0ZWFtamF6eg%3D%3D,/@collegiatedancehub,collegiate dance hub,Ohio State University Dance Team Jazz 2024,2.3K,2 weeks,UDA College Dance Team National Championship D1A Jazz Finals 1st Place Choreography:,2026-01-21 23:12:34.766933
/watch?v=CbLVXzcsdoU&pp=ygUZb2hpbyBzdGF0ZSBkYW5jZSB0ZWFtamF6eg%3D%3D,/@UDADANCE,UDA DANCE,Ohio State University | Jazz 2025,2.9K,1 year,I don't own rights to the music.,2026-01-21 23:12:34.769304
